



GLOSSARY
OF
CERTAIN SCOTCH WORDS AND PHRASES,
AS APPLIED IN THE ANTIQUARY.



Abune,			above.
Landward town,		a country house or farm, with adjoining cottages.
Lapper,			curdled milk.
Lauch,			laugh.
Lee,			a lie.
Lift,			the sky.
Likewake,		a burial entertainment.  
Like mutton weel, that
  lick where the yowe
  (ewe) lies,		a saying applicable to dogs too fond of mutton
Lilt,			play, fun.
Limmer,			jade.
Loaning,		meadow.
Loe,			love.
Loom,			vessel,   case
Loon,			lout.
Lound,			sheltered.
Luckie,			Goodie! addressed to a woman.
Lug,			the ear.
Lunzie,			the guilemot, sea-bird.

Maen,			to  complain.
Mailing,		a farm.
Manse,			parsonage.
Maun,			must.
Maunder,		palaver.
Mear,			more.
Merk,			Scotch silver coin, value 1s. 1<1/4>d.
Midden,			a dunghill.
Minnie,			mama, mammy.
Mirk,			dark.
Misca',			to abuse.
Moul,			the sod.
Moust,			a crop.
Muckle,			much.
My certie!		my faith.

Neb,			nose.
N'er be lickit,		not a vestige.  
Niffer,			exchange.

Oe,			grandchild.
Orra,			odd.

Paraffle,		mummery.
Partan,			a crab.
Peer,			poor.
Peery,			a peg-top.
Pictarnie,		the great tern, sea-bird.  
Plainstanes,		the pavement.
Pock,			a poke, bag.  
Poind,			to distrain.  
Popple,			etrickle.
Pose,			a hoard.
Pouting,		game-shooting.
Powny,			pony.
Prent buke,		a printed book.
Propine,		a gift.
Pound scots,		1s. 8d.

Quean,			a flirt.

Rampauging,		roaring.
Randy,			a scold.
Rath,			early.
Rattlin,		a rope ladder.
Reist,			to stop suddenly and stubbornly, as applied to
			  a horse.
Rickle,			a confused heap.
Rudas,			haggard.
Rugging,		driving, pulling, and tearing.

Sackless,		innocent.
Sampler,		a piece of sewing.
Saulie,			a mute.
Scart,			a cormorant, sea-bird.
Scull,			a flsh-basket for the back.
Scunner,		disgust.
Sea-maw,		a sea-gull.
Seer,			sure.
Shank,			the leg.
Shaw,			a turnip-top.
Shirra,			sheriff.
Shoon,			shoes.
Shule,			shovel.
Sib,			related by blood.
Sic,			such.
Siller,			money.
Skeely,			skilful.
Skirl,			scream.
Skreigh,		shriek.
Slaistering,		making a mess.
Sneeshin,		snuff.
Snood,			a hood or fillet for bining up the hair.
Soncy,			stout, comfortable.
Soothfast,		honest.
Sough,			sigh, whisper.
Soupled,		made supple.
Sowder,			solder.
Speel,			to scale.
Spunk,			spark.
Stang,			a long pole.
Steek,			keep shut.
Steer,			stir.
Steever,		stiffer.
Sting and ling,		entirely.
Stirra,			a stout lad; a young fellow.
Stouth and route,	plenty.
Strae,			straw.
Streek,			stretch out for burial
Sweer,			unwilling.
Syne,			since, ago.

Tae,			the one.
Talepyet,		a telltale.
Tammie-norie,		a puffin, sea-fowl
Tawpie,			an awkward girl.
Tent,			care.
Thae,			these.
Threep,			threaten, accuse, persist.
Through-stane,		gravestone.
Thrum,			to tell, to prose over.
Till,			hard clay.
Tirl,			turn over.
Tirlie-wirlie,		twisting.
Tocher,			a dowry.
Toom,			empty.
Touzled,		disordered.
Tow,			a rope.
Tripple,		ill made.  
Trimmer,		a vixen.  
Troth,			sure.
Trow,			to trust.  
Twal, 			twelve.

Ugsome,			noisome.
Ulyie,			oil.
Unbrizzed,		unbroken.
Unco,			particularly.

Wadna',			would not.
Wale o' the country,	the toast of the country-side.
Wallace straiks,	strokes as powerful as those said to have been dealt
			  by Sir William Wallace.
Wame,			womb, hollow.
Wan,			won
Warp,			four, applied to the counting of oysters.
Wanle,			strong.
Waur,			worse.
Waured,			to be worsted.
Wean,			infant.
Wee,			little.
Weize,			direct, twist.
Wheen,			a few.
Whilk,			which.
Whomle,			turn over.
Winna,			will not.
Winsome,		winning.
Worricow,		hobgoliun.
Wussing,		wishing.

Yald,			active.
Yestreen,		yesterday.
Yowe,			a ewe.
